entidad,td_2020_T1,td_2020_T2,td_2020_T3,td_2020_T4,td_2021_T1,td_2021_T2,td_2021_T3,td_2021_T4,td_2022_T1,td_2022_T2,td_2022_T3,td_2022_T4,td_2023_T1,td_2023_T2,td_2023_T3,td_2023_T4,td_2024_T1,td_2024_T2,td_2024_T3,td_2024_T4,informalidad_2024,participacion_2024,region
Aguascalientes,3.4,6.1,5.2,4.1,3.8,3.5,3.2,3.0,2.9,2.8,2.7,2.6,2.8,3.0,2.9,2.8,3.0,3.4,3.2,3.1,42.1,60.5,Centro-Norte
Baja California,3.5,5.8,4.9,4.0,3.7,3.4,3.1,2.9,2.8,2.7,2.6,2.5,2.6,2.7,2.6,2.5,2.7,2.9,2.8,2.7,38.5,62.3,Norte
Baja California Sur,2.8,4.2,3.6,3.1,2.9,2.7,2.5,2.3,2.2,2.1,2.0,1.9,2.0,2.1,2.0,1.9,2.1,2.2,2.1,2.0,35.2,67.0,Norte
Campeche,2.1,3.8,3.2,2.8,2.6,2.4,2.2,2.1,2.0,1.9,1.8,1.7,1.8,1.9,1.8,1.7,1.9,2.0,1.9,1.8,58.3,58.4,Sur-Sureste
Coahuila,3.8,6.2,5.3,4.5,4.2,3.9,3.6,3.4,3.3,3.2,3.1,3.0,3.1,3.3,3.2,3.1,3.3,3.7,3.5,3.5,35.8,62.8,Norte
Colima,3.2,5.4,4.6,3.9,3.6,3.3,3.0,2.8,2.7,2.6,2.5,2.4,2.5,2.6,2.5,2.4,2.6,2.7,2.6,2.5,45.2,65.5,Occidente
Chiapas,1.8,2.9,2.5,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.3,1.2,1.4,1.5,1.4,1.3,78.4,54.2,Sur-Sureste
Chihuahua,3.1,5.1,4.3,3.8,3.5,3.2,2.9,2.7,2.6,2.5,2.4,2.3,2.4,2.5,2.4,2.3,2.5,2.6,2.5,2.4,36.1,62.0,Norte
Ciudad de México,4.5,7.5,6.4,5.6,5.2,4.8,4.4,4.1,3.9,3.8,3.7,3.6,3.7,3.9,3.8,3.7,3.9,4.0,3.9,4.0,42.5,62.9,Centro
Durango,2.9,4.8,4.1,3.5,3.2,2.9,2.6,2.4,2.3,2.2,2.1,2.0,2.1,2.2,2.1,2.0,2.2,2.3,2.2,3.1,52.3,58.9,Norte
Guanajuato,3.3,5.6,4.8,4.1,3.8,3.5,3.2,3.0,2.9,2.8,2.7,2.6,2.7,2.8,2.7,2.6,2.8,3.1,2.9,2.7,52.8,58.4,Centro-Norte
Guerrero,1.5,2.8,2.4,2.1,1.9,1.7,1.5,1.4,1.3,1.2,1.1,1.0,1.1,1.2,1.1,1.0,1.2,1.3,1.2,1.3,81.2,56.8,Sur-Sureste
Hidalgo,2.8,4.5,3.8,3.3,3.1,2.8,2.5,2.3,2.2,2.1,2.0,1.9,2.0,2.1,2.0,1.9,2.1,2.2,2.1,2.0,65.4,57.4,Centro
Jalisco,3.2,5.4,4.6,4.0,3.7,3.4,3.1,2.9,2.8,2.7,2.6,2.5,2.6,2.7,2.6,2.5,2.7,2.8,2.7,2.6,44.3,61.2,Occidente
Estado de México,3.8,6.1,5.2,4.5,4.2,3.9,3.6,3.4,3.3,3.2,3.1,3.0,3.1,3.2,3.1,3.0,3.2,3.3,3.2,3.3,55.6,58.6,Centro
Michoacán,1.8,3.1,2.6,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.3,1.4,1.3,1.2,1.4,1.5,1.4,1.3,68.9,56.4,Occidente
Morelos,3.1,5.2,4.4,3.8,3.5,3.2,2.9,2.7,2.6,2.5,2.4,2.3,2.4,2.5,2.4,2.3,2.5,2.6,2.5,2.4,58.4,57.8,Centro
Nayarit,2.5,4.1,3.5,3.1,2.8,2.5,2.3,2.1,2.0,1.9,1.8,1.7,1.8,1.9,1.8,1.7,1.9,2.0,1.9,1.8,58.7,66.1,Occidente
