entidad,region,informalidad_2024,participacion_2024,tasa_desocupacion,anio,trimestre,periodo_label
Aguascalientes,Centro-Norte,42.1,60.5,3.4,2020,T1,2020-T1
Aguascalientes,Centro-Norte,42.1,60.5,6.1,2020,T2,2020-T2
Aguascalientes,Centro-Norte,42.1,60.5,5.2,2020,T3,2020-T3
Aguascalientes,Centro-Norte,42.1,60.5,4.1,2020,T4,2020-T4
Aguascalientes,Centro-Norte,42.1,60.5,3.8,2021,T1,2021-T1
Aguascalientes,Centro-Norte,42.1,60.5,3.5,2021,T2,2021-T2
Aguascalientes,Centro-Norte,42.1,60.5,3.2,2021,T3,2021-T3
Aguascalientes,Centro-Norte,42.1,60.5,3.0,2021,T4,2021-T4
Aguascalientes,Centro-Norte,42.1,60.5,2.9,2022,T1,2022-T1
Aguascalientes,Centro-Norte,42.1,60.5,2.8,2022,T2,2022-T2
Aguascalientes,Centro-Norte,42.1,60.5,2.7,2022,T3,2022-T3
Aguascalientes,Centro-Norte,42.1,60.5,2.6,2022,T4,2022-T4
Aguascalientes,Centro-Norte,42.1,60.5,2.8,2023,T1,2023-T1
Aguascalientes,Centro-Norte,42.1,60.5,3.0,2023,T2,2023-T2
Aguascalientes,Centro-Norte,42.1,60.5,2.9,2023,T3,2023-T3
Aguascalientes,Centro-Norte,42.1,60.5,2.8,2023,T4,2023-T4
Aguascalientes,Centro-Norte,42.1,60.5,3.0,2024,T1,2024-T1
Aguascalientes,Centro-Norte,42.1,60.5,3.4,2024,T2,2024-T2
Aguascalientes,Centro-Norte,42.1,60.5,3.2,2024,T3,2024-T3
Aguascalientes,Centro-Norte,42.1,60.5,3.1,2024,T4,2024-T4
Baja California,Norte,38.5,62.3,3.5,2020,T1,2020-T1
Baja California,Norte,38.5,62.3,5.8,2020,T2,2020-T2
Baja California,Norte,38.5,62.3,4.9,2020,T3,2020-T3
Baja California,Norte,38.5,62.3,4.0,2020,T4,2020-T4
Baja California,Norte,38.5,62.3,3.7,2021,T1,2021-T1
Baja California,Norte,38.5,62.3,3.4,2021,T2,2021-T2
Baja California,Norte,38.5,62.3,3.1,2021,T3,2021-T3
Baja California,Norte,38.5,62.3,2.9,2021,T4,2021-T4
Baja California,Norte,38.5,62.3,2.8,2022,T1,2022-T1
Baja California,Norte,38.5,62.3,2.7,2022,T2,2022-T2
Baja California,Norte,38.5,62.3,2.6,2022,T3,2022-T3
Baja California,Norte,38.5,62.3,2.5,2022,T4,2022-T4
Baja California,Norte,38.5,62.3,2.6,2023,T1,2023-T1
Baja California,Norte,38.5,62.3,2.7,2023,T2,2023-T2
Baja California,Norte,38.5,62.3,2.6,2023,T3,2023-T3
Baja California,Norte,38.5,62.3,2.5,2023,T4,2023-T4
Baja California,Norte,38.5,62.3,2.7,2024,T1,2024-T1
Baja California,Norte,38.5,62.3,2.9,2024,T2,2024-T2
Baja California,Norte,38.5,62.3,2.8,2024,T3,2024-T3
Baja California,Norte,38.5,62.3,2.7,2024,T4,2024-T4
Baja California Sur,Norte,35.2,67.0,2.8,2020,T1,2020-T1
Baja California Sur,Norte,35.2,67.0,4.2,2020,T2,2020-T2
Baja California Sur,Norte,35.2,67.0,3.6,2020,T3,2020-T3
Baja California Sur,Norte,35.2,67.0,3.1,2020,T4,2020-T4
Baja California Sur,Norte,35.2,67.0,2.9,2021,T1,2021-T1
Baja California Sur,Norte,35.2,67.0,2.7,2021,T2,2021-T2
Baja California Sur,Norte,35.2,67.0,2.5,2021,T3,2021-T3
Baja California Sur,Norte,35.2,67.0,2.3,2021,T4,2021-T4
Baja California Sur,Norte,35.2,67.0,2.2,2022,T1,2022-T1
Baja California Sur,Norte,35.2,67.0,2.1,2022,T2,2022-T2
Baja California Sur,Norte,35.2,67.0,2.0,2022,T3,2022-T3
Baja California Sur,Norte,35.2,67.0,1.9,2022,T4,2022-T4
Baja California Sur,Norte,35.2,67.0,2.0,2023,T1,2023-T1
Baja California Sur,Norte,35.2,67.0,2.1,2023,T2,2023-T2
Baja California Sur,Norte,35.2,67.0,2.0,2023,T3,2023-T3
Baja California Sur,Norte,35.2,67.0,1.9,2023,T4,2023-T4
Baja California Sur,Norte,35.2,67.0,2.1,2024,T1,2024-T1
Baja California Sur,Norte,35.2,67.0,2.2,2024,T2,2024-T2
Baja California Sur,Norte,35.2,67.0,2.1,2024,T3,2024-T3
Baja California Sur,Norte,35.2,67.0,2.0,2024,T4,2024-T4
Campeche,Sur-Sureste,58.3,58.4,2.1,2020,T1,2020-T1
Campeche,Sur-Sureste,58.3,58.4,3.8,2020,T2,2020-T2
Campeche,Sur-Sureste,58.3,58.4,3.2,2020,T3,2020-T3
Campeche,Sur-Sureste,58.3,58.4,2.8,2020,T4,2020-T4
Campeche,Sur-Sureste,58.3,58.4,2.6,2021,T1,2021-T1
Campeche,Sur-Sureste,58.3,58.4,2.4,2021,T2,2021-T2
